Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C
175,9/13/2014,3:43:57 AM,109,26.0
176,9/13/2014,3:43:58 AM,111,26.0
177,9/13/2014,3:43:59 AM,111,26.0
178,9/13/2014,3:44:01 AM,111,26.0
179,9/13/2014,3:44:02 AM,111,26.0
180,9/13/2014,3:44:03 AM,113,26.0
181,9/13/2014,3:44:04 AM,113,26.0
182,9/13/2014,3:44:05 AM,113,26.0
183,9/13/2014,3:44:06 AM,113,26.0
184,9/13/2014,3:44:07 AM,115,25.9
185,9/13/2014,3:44:08 AM,115,25.9
186,9/13/2014,3:44:09 AM,115,25.9
187,9/13/2014,3:44:10 AM,115,25.9
188,9/13/2014,3:44:11 AM,118,25.9
189,9/13/2014,3:44:12 AM,118,25.9
190,9/13/2014,3:44:13 AM,118,25.9
191,9/13/2014,3:44:14 AM,118,25.9
192,9/13/2014,3:44:15 AM,118,25.9
193,9/13/2014,3:44:16 AM,118,25.9
194,9/13/2014,3:44:17 AM,120,25.9
195,9/13/2014,3:44:18 AM,120,25.9
196,9/13/2014,3:44:19 AM,120,25.9
197,9/13/2014,3:44:20 AM,120,25.9
198,9/13/2014,3:44:21 AM,122,25.9
199,9/13/2014,3:44:22 AM,122,25.9
200,9/13/2014,3:44:23 AM,122,25.9
201,9/13/2014,3:44:24 AM,123,25.9
202,9/13/2014,3:44:25 AM,124,25.9
203,9/13/2014,3:44:26 AM,125,25.9
204,9/13/2014,3:44:27 AM,125,25.9
205,9/13/2014,3:44:28 AM,127,25.9
206,9/13/2014,3:44:29 AM,127,25.9
207,9/13/2014,3:44:30 AM,127,25.9
208,9/13/2014,3:44:31 AM,127,25.9
209,9/13/2014,3:44:32 AM,129,25.9
210,9/13/2014,3:44:33 AM,129,25.9
211,9/13/2014,3:44:34 AM,129,25.9
212,9/13/2014,3:44:35 AM,129,25.9
213,9/13/2014,3:44:36 AM,131,25.9
214,9/13/2014,3:44:37 AM,131,25.9
215,9/13/2014,3:44:38 AM,131,25.9
216,9/13/2014,3:44:39 AM,131,25.9
217,9/13/2014,3:44:40 AM,132,25.9
218,9/13/2014,3:44:41 AM,132,25.9
219,9/13/2014,3:44:42 AM,133,25.9
220,9/13/2014,3:44:43 AM,134,25.9
221,9/13/2014,3:44:44 AM,136,25.9
222,9/13/2014,3:44:45 AM,136,25.9
223,9/13/2014,3:44:46 AM,136,25.9
224,9/13/2014,3:44:47 AM,136,25.9
225,9/13/2014,3:44:48 AM,136,25.9
226,9/13/2014,3:44:49 AM,136,25.9
227,9/13/2014,3:44:50 AM,138,25.9
228,9/13/2014,3:44:51 AM,138,25.9
229,9/13/2014,3:44:52 AM,138,25.9
230,9/13/2014,3:44:53 AM,139,25.9
231,9/13/2014,3:44:54 AM,141,25.9
232,9/13/2014,3:44:55 AM,141,25.9
233,9/13/2014,3:44:56 AM,141,25.9
234,9/13/2014,3:44:57 AM,141,25.9
235,9/13/2014,3:44:58 AM,143,25.9
236,9/13/2014,3:44:59 AM,143,25.9
237,9/13/2014,3:45:00 AM,143,25.9
238,9/13/2014,3:45:01 AM,143,25.9
239,9/13/2014,3:45:02 AM,143,25.9
240,9/13/2014,3:45:03 AM,145,25.9
241,9/13/2014,3:45:04 AM,145,25.9
242,9/13/2014,3:45:05 AM,145,25.9
243,9/13/2014,3:45:06 AM,145,25.9
244,9/13/2014,3:45:07 AM,147,25.9
245,9/13/2014,3:45:08 AM,147,25.9
246,9/13/2014,3:45:09 AM,147,25.9
247,9/13/2014,3:45:10 AM,147,25.9
248,9/13/2014,3:45:11 AM,148,25.9
249,9/13/2014,3:45:13 AM,148,25.9
250,9/13/2014,3:45:14 AM,149,25.9
251,9/13/2014,3:45:15 AM,150,25.9
252,9/13/2014,3:45:16 AM,150,25.9
253,9/13/2014,3:45:17 AM,150,25.9
254,9/13/2014,3:45:18 AM,150,25.9
255,9/13/2014,3:45:19 AM,150,25.9
256,9/13/2014,3:45:20 AM,150,25.9
257,9/13/2014,3:45:21 AM,152,25.9
258,9/13/2014,3:45:22 AM,152,25.9
259,9/13/2014,3:45:23 AM,153,25.9
260,9/13/2014,3:45:24 AM,155,25.9
261,9/13/2014,3:45:25 AM,155,25.9
262,9/13/2014,3:45:26 AM,155,25.9
263,9/13/2014,3:45:27 AM,155,25.9
264,9/13/2014,3:45:28 AM,155,25.9
265,9/13/2014,3:45:29 AM,157,25.9
266,9/13/2014,3:45:30 AM,157,25.9
267,9/13/2014,3:45:31 AM,157,25.9
268,9/13/2014,3:45:32 AM,158,25.9
269,9/13/2014,3:45:33 AM,158,25.9
270,9/13/2014,3:45:34 AM,159,25.9
271,9/13/2014,3:45:35 AM,160,25.9
272,9/13/2014,3:45:36 AM,160,25.9
273,9/13/2014,3:45:37 AM,160,25.9
274,9/13/2014,3:45:38 AM,160,25.9
275,9/13/2014,3:45:39 AM,162,25.9
276,9/13/2014,3:45:40 AM,162,25.9
277,9/13/2014,3:45:41 AM,162,25.9
278,9/13/2014,3:45:42 AM,162,25.9
279,9/13/2014,3:45:43 AM,164,25.9
280,9/13/2014,3:45:44 AM,164,25.9
281,9/13/2014,3:45:45 AM,164,25.9
282,9/13/2014,3:45:46 AM,164,25.9
283,9/13/2014,3:45:47 AM,164,26.0
284,9/13/2014,3:45:48 AM,164,26.0
285,9/13/2014,3:45:49 AM,166,26.0
286,9/13/2014,3:45:50 AM,166,26.0
287,9/13/2014,3:45:51 AM,166,26.0
288,9/13/2014,3:45:52 AM,166,26.0
289,9/13/2014,3:45:53 AM,167,26.0
290,9/13/2014,3:45:54 AM,168,26.0
291,9/13/2014,3:45:55 AM,168,26.0
292,9/13/2014,3:45:56 AM,168,26.0
293,9/13/2014,3:45:57 AM,169,26.0
294,9/13/2014,3:45:58 AM,171,26.0
295,9/13/2014,3:45:59 AM,171,26.0
296,9/13/2014,3:46:00 AM,171,26.0
297,9/13/2014,3:46:01 AM,171,26.0
298,9/13/2014,3:46:02 AM,171,26.0
299,9/13/2014,3:46:03 AM,171,26.0
300,9/13/2014,3:46:04 AM,171,26.0
301,9/13/2014,3:46:05 AM,171,26.0
302,9/13/2014,3:46:06 AM,171,26.0
303,9/13/2014,3:46:07 AM,173,26.0
304,9/13/2014,3:46:08 AM,173,26.0
305,9/13/2014,3:46:09 AM,173,26.0
306,9/13/2014,3:46:10 AM,173,26.0
307,9/13/2014,3:46:11 AM,174,26.0
308,9/13/2014,3:46:12 AM,174,26.0
309,9/13/2014,3:46:13 AM,174,26.0
310,9/13/2014,3:46:14 AM,176,26.0
311,9/13/2014,3:46:15 AM,176,26.0
312,9/13/2014,3:46:16 AM,176,26.0
313,9/13/2014,3:46:17 AM,176,26.0
314,9/13/2014,3:46:18 AM,178,26.0
315,9/13/2014,3:46:19 AM,178,26.0
316,9/13/2014,3:46:20 AM,178,26.0
317,9/13/2014,3:46:21 AM,178,26.0
318,9/13/2014,3:46:22 AM,178,26.0
319,9/13/2014,3:46:23 AM,178,26.0
320,9/13/2014,3:46:25 AM,180,26.0
321,9/13/2014,3:46:26 AM,180,26.0
322,9/13/2014,3:46:27 AM,180,26.0
323,9/13/2014,3:46:28 AM,180,26.0
324,9/13/2014,3:46:29 AM,182,26.0
325,9/13/2014,3:46:30 AM,182,26.0
326,9/13/2014,3:46:31 AM,182,26.0
327,9/13/2014,3:46:32 AM,182,26.0
328,9/13/2014,3:46:33 AM,182,26.0
329,9/13/2014,3:46:34 AM,182,26.0
330,9/13/2014,3:46:35 AM,183,26.0
331,9/13/2014,3:46:36 AM,183,26.0
332,9/13/2014,3:46:37 AM,184,26.0
333,9/13/2014,3:46:38 AM,185,26.0
334,9/13/2014,3:46:39 AM,185,26.0
335,9/13/2014,3:46:40 AM,187,26.0
336,9/13/2014,3:46:41 AM,187,26.0
337,9/13/2014,3:46:42 AM,187,26.0
338,9/13/2014,3:46:43 AM,187,26.0
339,9/13/2014,3:46:44 AM,187,26.0
340,9/13/2014,3:46:45 AM,187,26.0
341,9/13/2014,3:46:46 AM,187,26.0
342,9/13/2014,3:46:47 AM,189,26.0
343,9/13/2014,3:46:48 AM,189,26.0
344,9/13/2014,3:46:49 AM,189,26.0
345,9/13/2014,3:46:50 AM,189,26.0
346,9/13/2014,3:46:51 AM,189,26.0
347,9/13/2014,3:46:52 AM,189,26.0
348,9/13/2014,3:46:53 AM,191,26.0
349,9/13/2014,3:46:54 AM,191,26.0
350,9/13/2014,3:46:55 AM,191,26.0
351,9/13/2014,3:46:56 AM,191,26.0
352,9/13/2014,3:46:57 AM,191,26.0
353,9/13/2014,3:46:58 AM,193,26.0
354,9/13/2014,3:46:59 AM,193,26.0
355,9/13/2014,3:47:00 AM,193,26.0
356,9/13/2014,3:47:01 AM,194,26.0
357,9/13/2014,3:47:02 AM,194,26.0
358,9/13/2014,3:47:03 AM,196,26.0
359,9/13/2014,3:47:04 AM,196,26.0
360,9/13/2014,3:47:05 AM,196,26.0
361,9/13/2014,3:47:06 AM,198,26.0
362,9/13/2014,3:47:07 AM,198,26.0
363,9/13/2014,3:47:08 AM,198,26.0
364,9/13/2014,3:47:09 AM,198,26.0
365,9/13/2014,3:47:10 AM,198,26.0
366,9/13/2014,3:47:11 AM,198,26.0
367,9/13/2014,3:47:12 AM,198,26.0
368,9/13/2014,3:47:13 AM,200,26.0
369,9/13/2014,3:47:14 AM,200,26.0
370,9/13/2014,3:47:15 AM,200,26.0
371,9/13/2014,3:47:16 AM,200,26.0
372,9/13/2014,3:47:17 AM,200,26.0
373,9/13/2014,3:47:18 AM,200,26.0
374,9/13/2014,3:47:19 AM,202,26.0
375,9/13/2014,3:47:20 AM,202,26.0
376,9/13/2014,3:47:21 AM,202,26.0
377,9/13/2014,3:47:22 AM,203,26.0
378,9/13/2014,3:47:23 AM,203,26.0
379,9/13/2014,3:47:24 AM,204,26.0
380,9/13/2014,3:47:25 AM,205,26.0
381,9/13/2014,3:47:26 AM,205,26.0
382,9/13/2014,3:47:27 AM,205,26.0
383,9/13/2014,3:47:28 AM,205,26.0
384,9/13/2014,3:47:29 AM,207,26.0
385,9/13/2014,3:47:30 AM,207,26.0
386,9/13/2014,3:47:31 AM,207,26.0
387,9/13/2014,3:47:32 AM,207,26.0
388,9/13/2014,3:47:33 AM,207,26.0
389,9/13/2014,3:47:34 AM,207,26.0
390,9/13/2014,3:47:35 AM,209,26.0
391,9/13/2014,3:47:36 AM,209,26.0
392,9/13/2014,3:47:38 AM,209,26.0
393,9/13/2014,3:47:39 AM,209,26.0
394,9/13/2014,3:47:40 AM,209,26.0
395,9/13/2014,3:47:41 AM,211,26.0
396,9/13/2014,3:47:42 AM,211,26.0
397,9/13/2014,3:47:43 AM,211,26.0
398,9/13/2014,3:47:44 AM,211,26.0
399,9/13/2014,3:47:45 AM,212,26.0
400,9/13/2014,3:47:46 AM,213,26.0
401,9/13/2014,3:47:47 AM,213,26.0
402,9/13/2014,3:47:48 AM,213,26.0
403,9/13/2014,3:47:49 AM,214,26.0
404,9/13/2014,3:47:50 AM,214,26.0
405,9/13/2014,3:47:51 AM,214,26.0
406,9/13/2014,3:47:52 AM,214,26.0
407,9/13/2014,3:47:53 AM,214,26.0
408,9/13/2014,3:47:54 AM,216,26.0
409,9/13/2014,3:47:55 AM,216,26.0
410,9/13/2014,3:47:56 AM,216,26.0
411,9/13/2014,3:47:57 AM,216,26.0
412,9/13/2014,3:47:58 AM,216,26.0
413,9/13/2014,3:47:59 AM,217,26.0
414,9/13/2014,3:48:00 AM,218,26.0
415,9/13/2014,3:48:01 AM,218,26.0
416,9/13/2014,3:48:02 AM,218,26.0
417,9/13/2014,3:48:03 AM,218,26.0
418,9/13/2014,3:48:04 AM,218,26.0
419,9/13/2014,3:48:05 AM,219,26.0
420,9/13/2014,3:48:06 AM,221,26.0
421,9/13/2014,3:48:07 AM,221,26.0
422,9/13/2014,3:48:08 AM,221,26.0
423,9/13/2014,3:48:09 AM,221,26.0
424,9/13/2014,3:48:10 AM,221,26.0
425,9/13/2014,3:48:11 AM,221,26.0
426,9/13/2014,3:48:12 AM,221,26.0
427,9/13/2014,3:48:13 AM,223,26.0
428,9/13/2014,3:48:14 AM,223,26.0
429,9/13/2014,3:48:15 AM,223,26.0
430,9/13/2014,3:48:16 AM,223,26.0
431,9/13/2014,3:48:17 AM,223,26.0
432,9/13/2014,3:48:18 AM,223,26.0
433,9/13/2014,3:48:19 AM,225,26.0
434,9/13/2014,3:48:20 AM,225,26.0
435,9/13/2014,3:48:21 AM,225,26.0
436,9/13/2014,3:48:22 AM,225,26.0
437,9/13/2014,3:48:23 AM,226,26.0
438,9/13/2014,3:48:24 AM,226,26.0
439,9/13/2014,3:48:25 AM,226,26.0
440,9/13/2014,3:48:26 AM,226,26.0
441,9/13/2014,3:48:27 AM,226,26.0
442,9/13/2014,3:48:28 AM,226,26.0
443,9/13/2014,3:48:29 AM,228,26.0
444,9/13/2014,3:48:30 AM,228,26.0
445,9/13/2014,3:48:31 AM,228,26.0
446,9/13/2014,3:48:32 AM,228,26.0
447,9/13/2014,3:48:33 AM,229,26.0
448,9/13/2014,3:48:34 AM,229,26.0
